epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1625.54,1.25215,0.83327,1.05695,0.8549,0.63906,0.70164,0.4501,1.38484,1.89001,1.44186,0.000676802,0.000676802,0.000676802
62,1651.16,1.29656,0.86481,1.05917,0.84607,0.61197,0.68244,0.43566,1.37404,1.89531,1.41453,0.000660299,0.000660299,0.000660299
63,1676.55,1.25046,0.81239,1.04776,0.84281,0.65098,0.70982,0.45672,1.38021,1.90542,1.41857,0.000643795,0.000643795,0.000643795
64,1703.28,1.27652,0.84653,1.06539,0.87194,0.63447,0.71493,0.45775,1.30862,1.76543,1.38517,0.000627292,0.000627292,0.000627292
65,1729.18,1.26072,0.84244,1.05955,0.82485,0.66167,0.71096,0.46069,1.3214,1.74889,1.38171,0.000610789,0.000610789,0.000610789
66,1755.22,1.23618,0.81724,1.05252,0.87953,0.65369,0.71731,0.47022,1.35655,1.92216,1.39314,0.000594286,0.000594286,0.000594286
67,1782.07,1.22497,0.81597,1.04391,0.8474,0.65878,0.70612,0.45605,1.35734,1.92532,1.40951,0.000577782,0.000577782,0.000577782
68,1808.7,1.21693,0.78184,1.03468,0.89014,0.63589,0.70589,0.47519,1.35369,1.85152,1.3975,0.000561279,0.000561279,0.000561279
69,1834.66,1.21799,0.79655,1.03912,0.86172,0.65959,0.71416,0.47548,1.38605,1.85109,1.41543,0.000544776,0.000544776,0.000544776
70,1861.2,1.21379,0.78781,1.03112,0.89351,0.65984,0.72564,0.48634,1.30474,1.85379,1.36813,0.000528272,0.000528272,0.000528272
71,1887.86,1.18231,0.76336,1.02172,0.85573,0.65534,0.7145,0.46741,1.35869,1.85022,1.40905,0.000511769,0.000511769,0.000511769
72,1913.96,1.19348,0.77509,1.02312,0.86849,0.65373,0.71352,0.46315,1.378,1.87714,1.41306,0.000495266,0.000495266,0.000495266
73,1940.69,1.19856,0.77448,1.02804,0.89428,0.67435,0.71883,0.47063,1.3376,1.91352,1.36842,0.000478762,0.000478762,0.000478762
74,1967.87,1.19585,0.76535,1.01834,0.86881,0.67326,0.72627,0.47807,1.30263,1.82157,1.36864,0.000462259,0.000462259,0.000462259
75,1995.01,1.20328,0.77937,1.0262,0.91948,0.65638,0.73162,0.47482,1.27907,1.82922,1.36932,0.000445756,0.000445756,0.000445756
76,2020.89,1.1856,0.76433,1.02482,0.9055,0.6546,0.71986,0.47381,1.29846,1.87257,1.38037,0.000429253,0.000429253,0.000429253
77,2047.59,1.20051,0.7734,1.02871,0.89107,0.66829,0.72103,0.47436,1.31244,1.82889,1.37112,0.000412749,0.000412749,0.000412749
78,2074.11,1.1681,0.74488,1.00923,0.87452,0.65723,0.72659,0.48011,1.31713,1.81819,1.36596,0.000396246,0.000396246,0.000396246
79,2100.98,1.17073,0.74338,1.01746,0.88627,0.66091,0.72482,0.49151,1.3,1.83297,1.36943,0.000379743,0.000379743,0.000379743
80,2127.59,1.16313,0.74932,1.00861,0.91528,0.65907,0.72207,0.48825,1.26531,1.80009,1.34246,0.000363239,0.000363239,0.000363239
81,2154.45,1.16309,0.73577,1.00409,0.91074,0.65488,0.72738,0.4865,1.26568,1.90496,1.35321,0.000346736,0.000346736,0.000346736
82,2181.25,1.12501,0.71952,0.99079,0.89121,0.63441,0.72498,0.49526,1.25449,1.828,1.35096,0.000330233,0.000330233,0.000330233
83,2208.25,1.14964,0.72509,1.00663,0.89633,0.65109,0.72751,0.49191,1.28236,1.86774,1.37827,0.000313729,0.000313729,0.000313729
84,2235.01,1.142,0.71784,1.00157,0.88704,0.65109,0.72601,0.49067,1.26515,1.87891,1.35709,0.000297226,0.000297226,0.000297226
85,2262.01,1.0982,0.69164,0.99008,0.89311,0.66737,0.72751,0.49796,1.29234,1.80366,1.39336,0.000280723,0.000280723,0.000280723
86,2288.48,1.12934,0.70615,0.999,0.91249,0.65856,0.73306,0.49414,1.27716,1.86226,1.36998,0.00026422,0.00026422,0.00026422
87,2315.01,1.14564,0.71184,1.00335,0.89346,0.67142,0.73591,0.49593,1.27576,1.89956,1.38723,0.000247716,0.000247716,0.000247716
88,2341.73,1.09098,0.68702,0.98512,0.90832,0.64764,0.73075,0.49233,1.26691,1.85625,1.35635,0.000231213,0.000231213,0.000231213
89,2368.34,1.10202,0.69029,0.98648,0.91756,0.6429,0.73249,0.49505,1.25171,1.87344,1.33467,0.00021471,0.00021471,0.00021471
90,2395.43,1.1022,0.68235,0.98647,0.93971,0.66353,0.73888,0.49344,1.24529,1.84762,1.34229,0.000198206,0.000198206,0.000198206
91,2423.02,1.11285,0.66358,0.97146,0.94008,0.63635,0.72139,0.48953,1.27951,1.82894,1.34352,0.000181703,0.000181703,0.000181703
92,2449.56,1.10553,0.6504,0.96022,0.86188,0.6765,0.73112,0.49238,1.26401,1.84141,1.3498,0.0001652,0.0001652,0.0001652
93,2476.49,1.09752,0.64936,0.96446,0.88118,0.66971,0.72962,0.49515,1.27022,1.84541,1.35895,0.000148696,0.000148696,0.000148696
94,2502.86,1.09195,0.6512,0.96783,0.9436,0.63368,0.72842,0.48914,1.26958,1.81729,1.34322,0.000132193,0.000132193,0.000132193
95,2530.37,1.09116,0.64314,0.96209,0.93304,0.64419,0.73465,0.49487,1.25327,1.79109,1.33812,0.00011569,0.00011569,0.00011569
96,2556,1.07346,0.63771,0.95297,0.94393,0.64569,0.73885,0.4995,1.24527,1.81099,1.32454,9.91865e-05,9.91865e-05,9.91865e-05
97,2582.76,1.07448,0.62657,0.95435,0.9236,0.64574,0.73246,0.50047,1.25599,1.78073,1.33763,8.26832e-05,8.26832e-05,8.26832e-05
98,2609.59,1.06225,0.62028,0.95095,0.92368,0.64134,0.7283,0.49614,1.25001,1.77882,1.33644,6.61799e-05,6.61799e-05,6.61799e-05
99,2634.96,1.05195,0.61872,0.95075,0.91767,0.65276,0.73433,0.50474,1.2241,1.79028,1.32574,4.96766e-05,4.96766e-05,4.96766e-05
100,2661.65,1.03804,0.61659,0.94855,0.93228,0.65401,0.73654,0.50527,1.23553,1.78422,1.32436,3.31733e-05,3.31733e-05,3.31733e-05
