epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1377.99,1.12169,0.68749,0.98718,0.90959,0.81293,0.87517,0.58397,1.06188,0.6668,1.04988,0.000363239,0.000363239,0.000363239
81,1394.81,1.10238,0.67949,0.97651,0.94033,0.79919,0.88124,0.5892,1.08912,0.67597,1.0398,0.000346736,0.000346736,0.000346736
82,1412.18,1.06809,0.66788,0.96642,0.9431,0.78996,0.87165,0.5815,1.063,0.68202,1.03634,0.000330233,0.000330233,0.000330233
83,1429.14,1.09422,0.68058,0.97879,0.9291,0.79802,0.88113,0.58582,1.07764,0.68147,1.02779,0.000313729,0.000313729,0.000313729
84,1444.93,1.06325,0.656,0.97493,0.93022,0.79472,0.88002,0.59378,1.06877,0.67285,1.01897,0.000297226,0.000297226,0.000297226
85,1462.01,1.06852,0.65211,0.97434,0.91125,0.80321,0.87429,0.59483,1.04398,0.67487,1.01571,0.000280723,0.000280723,0.000280723
86,1478.54,1.10804,0.68339,0.97348,0.90158,0.80186,0.86863,0.57705,1.07304,0.69745,1.02995,0.00026422,0.00026422,0.00026422
87,1492.69,1.07874,0.65896,0.96203,0.88927,0.81595,0.88132,0.59095,1.04914,0.6747,1.01969,0.000247716,0.000247716,0.000247716
88,1510.15,1.06315,0.65408,0.95965,0.92599,0.80539,0.87769,0.57799,1.07434,0.72229,1.02103,0.000231213,0.000231213,0.000231213
89,1527.99,1.06084,0.64898,0.96624,0.92679,0.79718,0.87455,0.58957,1.03123,0.66518,1.02166,0.00021471,0.00021471,0.00021471
90,1545.41,1.064,0.65634,0.97046,0.95139,0.78425,0.88567,0.5852,1.06755,0.67226,1.02571,0.000198206,0.000198206,0.000198206
91,1564.45,1.0708,0.64306,0.94851,0.90909,0.78442,0.86395,0.56945,1.09795,0.68127,1.056,0.000181703,0.000181703,0.000181703
92,1581.96,1.06779,0.62447,0.93825,0.91004,0.80293,0.8739,0.58148,1.06704,0.66657,1.0392,0.0001652,0.0001652,0.0001652
93,1599.08,1.04429,0.62135,0.93703,0.92161,0.78593,0.8682,0.57942,1.10209,0.67836,1.05892,0.000148696,0.000148696,0.000148696
94,1614.23,1.04343,0.60951,0.93439,0.90526,0.80142,0.87754,0.58381,1.06585,0.67463,1.03925,0.000132193,0.000132193,0.000132193
95,1630.05,1.04026,0.60402,0.93682,0.90429,0.80551,0.87846,0.58913,1.10625,0.686,1.04967,0.00011569,0.00011569,0.00011569
96,1647.47,1.03468,0.60217,0.93595,0.90536,0.80888,0.8764,0.59143,1.07279,0.66681,1.037,9.91865e-05,9.91865e-05,9.91865e-05
97,1664.36,1.02947,0.59813,0.92686,0.90452,0.80147,0.87334,0.59117,1.06121,0.66001,1.03235,8.26832e-05,8.26832e-05,8.26832e-05
98,1680.93,1.00956,0.58856,0.92645,0.91435,0.79724,0.8812,0.59692,1.06735,0.65197,1.03699,6.61799e-05,6.61799e-05,6.61799e-05
99,1698.02,1.00545,0.58536,0.92168,0.93036,0.781,0.88096,0.59435,1.04565,0.65299,1.02614,4.96766e-05,4.96766e-05,4.96766e-05
100,1715.21,0.98965,0.58023,0.92275,0.92833,0.77981,0.87164,0.59075,1.05728,0.65821,1.0323,3.31733e-05,3.31733e-05,3.31733e-05
